ASIN,Product_ID,Product_Group,Sales_Rank,Estimated_Number_of_Sales,Purchase_Price,Buy_Box_Landed,Low_New_Fba_Price,Low_New_Mfn_Price,Sell_Price,Fulfillment_Subtotal,Cost_Sub_Total,Inbound_Shipping_Estimate,Package_Weight,Package_Height,Package_Length,Package_Width,Package_Quantity,Total_Offers,New_FBA_Num_Offers,New_MFN_Num_Offers,Min,Mult,UM,CA,BWOT,Class
B07TJWGYR3,96069661740,Lawn and Garden,873490,5,5.25,13.89,13.89,10.5,13.89,4.92,7,0.44,1.09,2.28,5.67,4.21,6,1,1,0,1,1,EA,SE,SON,No        
B07TJWQFBB,96069660873,Kitchen,76675,1,5.5,15.05,15.05,11,15.05,4.94,7.2,0.41,1.03,3.54,5.24,5.2,6,1,1,0,4,4,EA,SE,SON,No        
B07TJX3GDB,96069662396,Kitchen,922992,5,5.25,10.5,10.5,17.9,17.9,4.93,7.62,0.41,1.03,1.57,9.09,5.39,6,1,0,1,1,1,EA,SE,SON,No        
B07TJX55PX,96069662563,Kitchen,76675,1,5,13.74,14.59,13.74,13.74,5.44,7.5,0.8,2,3.5,3.75,3.75,6,2,1,1,4,4,EA,SE,SON,No        
B07TJXPFMD,96069661283,Kitchen,76675,1,10,23.52,23.52,20,23.52,5.92,9.45,1.34,3.35,6.69,6.69,6.69,6,1,1,0,2,1,EA,SE,SON,No        
B07TJYJQNP,96069662570,Kitchen,76675,1,5,15.05,15.05,10,15.05,5.44,7.7,0.8,2,3.5,3.75,3.75,6,1,1,0,4,4,EA,SE,SON,No        
B07TKMVYG5,96069610915,Home,76675,1,7.5,18.93,18.93,15,18.93,3.33,6.17,0.1,0.25,1.6,6.2,5.9,1,1,1,0,2,1,EA,GG,SON,No        
B07TQJBMVN,96069512295,Lawn & Patio,76675,1,10,26.74,20,26.74,26.74,3.55,7.56,0.2,0.5,2,12,7,1,1,0,1,2,1,EA,EF,SSF,No        
B07TRF99G7,96069610892,Lawn and Garden,994452,5,7.5,19.54,15,19.53,19.54,5.47,8.4,0,1,6,6,6,1,2,0,2,2,1,EA,GG,SON,No        
B07TSNC3BC,96069493532,Lawn & Patio,76675,1,5,11.99,10,11.99,11.99,3.38,5.18,0.12,0.3,2,12,7,1,1,0,1,3,1,EA,SF,SSF,No        
